species,species_lemmatized
Actinomadura jiaoheensis,Actinomadura jiaoheensis
Actinomadura keratinilytica,Actinomadura keratinilytica
Actinomadura kijaniata,Actinomadura kijaniata
Actinomadura latina,Actinomadura latina
Actinomadura litoris,Actinomadura litoris
Actinomadura livida,Actinomadura livida
Actinomadura logoneensis,Actinomadura logoneensis
Actinomadura luteofluorescens,actinomadura luteofluorescens
Actinomadura macra,Actinomadura macra
Actinomadura madurae,Actinomadura madurae
Actinomadura maheshkhaliensis,Actinomadura maheshkhaliensis
Actinomadura meridiana,Actinomadura meridiana
Actinomadura mexicana,Actinomadura mexicana
Actinomadura meyerae,Actinomadura meyerae
Actinomadura miaoliensis,Actinomadura miaoliensis
Actinomadura montaniterrae,Actinomadura montaniterrae
Actinomadura namibiensis,Actinomadura namibiensis
Actinomadura napierensis,Actinomadura napierensis
Actinomadura nitritigenes,actinomadura nitritigenes
Actinomadura oligospora,Actinomadura oligospora
Actinomadura pelletieri,Actinomadura pelletieri
Actinomadura physcomitrii,actinomadura physcomitrii
Actinomadura rayongensis,Actinomadura rayongensis
Actinomadura rhizosphaerae,Actinomadura rhizosphaerae
Actinomadura rifamycini,Actinomadura rifamycini
Actinomadura roseirufa,Actinomadura roseirufa
Actinomadura rubrisoli,Actinomadura rubrisoli
Actinomadura rudentiformis,Actinomadura rudentiformis
Actinomadura rugatobispora,Actinomadura rugatobispora
Actinomadura rupiterrae,Actinomadura rupiterrae
Actinomadura scrupuli,Actinomadura scrupuli
Actinomadura sediminis,Actinomadura sediminis
Actinomadura sp.,Actinomadura sp .
Actinomadura sporangiiformans,Actinomadura sporangiiforman
Actinomadura sputi,Actinomadura sputi
Actinomadura syzygii,actinomadura syzygii
Actinomadura verrucosospora,Actinomadura verrucosospora
Actinomadura vinacea,Actinomadura vinacea
Actinomadura viridilutea,Actinomadura viridilutea
Actinomadura viridis,Actinomadura viridis
Actinomadura xylanilytica,Actinomadura xylanilytica
Actinomadura yumaensis,Actinomadura yumaensis
Actinomyces bouchesdurhonensis,actinomyces bouchesdurhonensis
Actinomyces bovis,actinomyces bovis
Actinomyces bowdenii,actinomyce bowdenii
Actinomyces catuli,actinomyces catuli
Actinomyces dentalis,actinomyces dentalis
Actinomyces denticolens,actinomyce denticolen
