species_names
Acinetobacter guillouiae
Acinetobacter gyllenbergii
Acinetobacter haemolyticus
Acinetobacter halotolerans
Acinetobacter harbinensis
Acinetobacter harbinensis sp. nov.
Acinetobacter indicus
Acinetobacter indicus sp. nov.
Acinetobacter johnsonii
Acinetobacter junii
Acinetobacter kookii
Acinetobacter kookii sp. nov.
Acinetobacter lactucae
Acinetobacter lactucae sp. nov.
Acinetobacter lanii
Acinetobacter lanii sp. nov.
Acinetobacter larvae
Acinetobacter larvae sp. nov.
Acinetobacter lwoffii
Acinetobacter marinus
Acinetobacter mesopotamicus
Acinetobacter modestus
Acinetobacter nectaris
Acinetobacter nectaris sp. nov.
Acinetobacter nosocomialis
Acinetobacter oleivorans
Acinetobacter oryzae
Acinetobacter parvus
Acinetobacter parvus sp. nov.
Acinetobacter piscicola
Acinetobacter piscicola sp. nov.
Acinetobacter pittii
Acinetobacter plantarum
Acinetobacter pollinis
Acinetobacter pollinis sp. nov.
Acinetobacter portensis
Acinetobacter portensis sp. nov.
Acinetobacter pragensis
Acinetobacter pragensis sp. nov.
Acinetobacter proteolyticus
Acinetobacter pseudolwoffii
Acinetobacter pullicarnis
Acinetobacter pullorum
Acinetobacter puyangensis
Acinetobacter qingfengensis
Acinetobacter qingfengensis sp. nov.
Acinetobacter radioresistens
Acinetobacter radioresistens sp. nov.
Acinetobacter refrigeratoris
Acinetobacter rudis
Acinetobacter rudis sp. nov.
Acinetobacter schindleri
Acinetobacter seifertii
Acinetobacter seifertii sp. nov.
Acinetobacter seohaensis
Acinetobacter septicus
Acinetobacter shaoyimingii
Acinetobacter sichuanensis
Acinetobacter sichuanensis sp. nov.
Acinetobacter soli
Acinetobacter sp.
Acinetobacter tandoii
Acinetobacter tjernbergiae
Acinetobacter towneri
Acinetobacter ursingii
Acinetobacter ursingii sp. nov.
Acinetobacter variabilis
Acinetobacter variabilis sp. nov.
Acinetobacter venetianus
Acinetobacter vivianii
Acinetobacter wanghuae
Acinetobacter wuhouensis
Acinetobacter wuhouensis sp. nov.
Acrocarpospora corrugata
Acrocarpospora macrocephala
Acrocarpospora phusangensis
Acrocarpospora phusangensis sp. nov.
Acrocarpospora pleiomorpha
Actibacter haliotis
Actibacter haliotis sp. nov.
Actibacter sediminis
Actibacter sediminis gen. nov.
Actibacterium mucosum
Actibacterium mucosum gen. nov.
Actibacterium naphthalenivorans
Actibacterium pelagium
Actibacterium pelagium sp. nov.
Actibacterium ureilyticum
Actibacterium ureilyticum sp. nov.
Actimicrobium antarcticum
Actinoallomurus acaciae
Actinoallomurus acaciae sp. nov.
Actinoallomurus acanthiterrae
Actinoallomurus acanthiterrae sp. nov.
Actinoallomurus amamiensis
Actinoallomurus bryophytorum
Actinoallomurus caesius
Actinoallomurus coprocola
Actinoallomurus fulvus
Actinoallomurus iriomotensis
Actinoallomurus liliacearum
Actinoallomurus luridus
Actinoallomurus oryzae
Actinoallomurus oryzae sp. nov.
Actinoallomurus purpureus
Actinoallomurus radicium
Actinoallomurus radicium sp. nov.
Actinoallomurus sp.
Actinoallomurus spadix
Actinoallomurus vinaceus
Actinoallomurus yoronensis
Actinoalloteichus cyanogriseus
Actinoalloteichus cyanogriseus gen. nov.
Actinoalloteichus fjordicus
Actinoalloteichus hoggarensis
Actinoalloteichus hoggarensis sp. nov.
Actinoalloteichus hymeniacidonis
Actinoalloteichus hymeniacidonis sp. nov.
Actinoalloteichus nanshanensis
Actinoalloteichus nanshanensis sp. nov.
Actinoalloteichus sp.
Actinoalloteichus spitiensis
Actinoalloteichus spitiensis sp. nov.
Actinobacillus anseriformium
Actinobacillus arthritidis
Actinobacillus capsulatus
Actinobacillus delphinicola
Actinobacillus delphinicola sp. nov.
Actinobacillus equuli
Actinobacillus equuli subsp. haemolyticus
Actinobacillus hominis
Actinobacillus indolicus
Actinobacillus lignieresii
Actinobacillus minor
Actinobacillus minor sp. nov.
Actinobacillus pleuropneumoniae
Actinobacillus porcinus
Actinobacillus porcitonsillarum
Actinobacillus rossii
Actinobacillus rossii sp. nov.
Actinobacillus scotiae
Actinobacillus scotiae sp. nov.
Actinobacillus seminis
Actinobacillus sp.
Actinobacillus succinogenes
